index,sentence,length
568,"And part of being human is being conscious, is having the capacity to suffer, having the capacity to experience this life richly in such a way that you can empathize, the AI system can empathize with you, and you can empathize with it, or you can project your anthropomorphic sense of what the other entity is experiencing.",20.46
569,"And an AI model would need to, yeah, to create that experience inside your mind.",4.8
570,And it doesn't seem that difficult.,1.32
571,"Yeah, but, okay, so here's where it actually gets totally different, right?",3.14
572,"When you interact with another human, you can make some assumptions.",3.58
573,Yeah.,0.24
574,"When you interact with these models, you can't.",2.06
575,You can make some assumptions that that other human experiences suffering and pleasure in a pretty similar way to you do.,6.58
576,The golden rule applies.,1.1
577,"With an AI model, this isn't really true, right?",3.44
578,These large language models are good at fooling people because they were trained on a whole bunch of human data and told to mimic it.,6.22
579,Yep.,0.1
580,"But if the AI system says, hi, my name is Samantha, Samantha has a backstory.",6.6
581,Yeah.,0.08
582,Went to college here and there.,1.32
583,Yeah.,0.22
584,Maybe you'll integrate this in the AI system.,2.08
585,I made some chatbots.,0.86
586,I gave them backstories.,0.64
587,It was lots of fun.,0.56
588,I was so happy when Llama came out.,1.22
589,"Yeah, we'll talk about Llama.",1.72
590,We'll talk about all that.,0.82
591,"But like, you know, the rock with the smiley face.",2.02
592,Yeah.,0.28
593,"Well, it seems pretty natural for you to anthropomorphize that thing and then start dating it.",5.6
594,"And before you know it, you're married and have kids.",4.52
595,With a rock?,0.68
596,With a rock.,1.02
597,And there's pictures on Instagram with you and a rock and a smiley face.,2.82
598,"To be fair, like, you know, something that people generally look for when they're looking for someone to date is intelligence in some form.",6.16
599,And the rock doesn't really have intelligence.,2.08
600,Only a pretty desperate person would date a rock.,1.8
601,I think we're all desperate deep down.,1.78
602,"Oh, not rock level desperate.",1.1
603,All right.,0.88
604,"not Uh, rock level desperate, but AI level desperate.",6.28
605,I don't know.,0.48
606,I think all of us have a deep loneliness.,1.52
607,It just feels like the language models are there.,2.08
608,"Oh, I agree.",0.68
609,And you know what?,0.34
610,I won't even say this so cynically.,1.24
611,"I will actually say this in a way that like, I want AI friends.",2.42
612,I do.,0.34
613,Yeah.,0.2
614,"Like, I would love to, you know, again, the language models now are still a little, like, people are impressed with these GPT things.",8.84
615,"Or like, or the co-pilot, the coding one.",3.52
616,"And I'm like, okay, this is like junior engineer level.",2.62
617,And these people are like Fiverr level artists and copywriters.,3.44
618,"Like, okay, great.",1.9
619,We got like Fiverr and like junior engineers.,2.18
620,"Okay, cool.",0.68
621,"Like, and this is just the start and it will get better, right?",3.5
622,Like I can't wait to have AI friends who are more intelligent than I am.,3.98
623,So Fiverr is just a temper.,1.16
624,It's not the ceiling.,0.74
625,"No, definitely not.",0.96
626,Is it count as cheating when you're talking to an AI model?,5.14
627,Emotional cheating?,0.84
628,That's up to you and your human partner to define.,4.84
629,"Oh, you have to, all right.",1.06
630,"You're getting, yeah.",0.5
631,"You have to have that conversation, I guess.",2.32
632,All right.,0.38
633,"I mean, integrate that with porn and all this kind of stuff.",2.9
634,"No, I mean, it's similar kind of to porn.",1.72
635,Yeah.,0.22
636,Yeah.,0.18
637,"Right, I think people in relationships have different views on that.",2.52
638,"Yeah, but most people don't have like serious open conversations about all the different aspects of what's cool and what's not.",10.42
639,And it feels like AI is a really weird conversation to have.,3.32
640,The porn one is a good branching off point.,2.8
641,"Like these things, you know, one of my scenarios that I put in my chat bot is a, you know, a nice girl named Lexi, she's 20.",7.12
642,She just moved out to LA.,1.0
643,"She wanted to be an actress, but she started doing OnlyFans instead and you're on a date with her, enjoy.",3.66
644,"Oh man, yeah.",3.82
645,"And so is that, if you're actually dating somebody in real life, is that cheating?",4.1
646,I feel like it gets a little weird.,1.9
647,Sure.,0.3
648,It gets real weird.,0.8
649,"It's like, what are you allowed to say to an AI bot?",1.92
650,Imagine having that conversation with a significant other.,2.52
651,"I mean, these are all things for people to define in their relationships.",2.42
652,What it means to be human is just gonna start to get weird.,2.48
653,Especially online.,0.8
654,"Like, how do you know?",0.68
655,"Like, there'll be moments when you'll have what you think is a real human you interacted with on Twitter for years and you realize it's not.",7.66
656,"I spread, I love this meme, heaven banning.",3.3
657,Do you know about shadow banning?,1.32
658,Yeah.,0.22
659,"Shadow banning, okay, you post, no one can see it.",2.12
660,"Heaven banning, you post, no one can see it, but a whole lot of AIs are spot up to interact with you.",5.52
661,"Well, maybe that's what the way human civilization ends is all of us are heaven banned.",5.82
662,"There's a great, it's called My Little Pony Friendship is Optimal.",3.92
663,It's a sci-fi story that explores this idea.,3.0
664,Friendship is optimal.,0.72
665,Friendship is optimal.,0.6
666,"Yeah, I'd like to have some, at least on the intellectual realm, some AI friends that argue with me.",5.64
667,But the romantic realm is weird.,2.86
668,Definitely weird.,0.66
669,"But not out of the realm of the kind of weirdness that human civilization is capable of, I think.",7.46
670,I want it.,0.58
671,"Look, I want it.",0.7
672,"If no one else wants it, I want it.",1.54
673,"Yeah, I think a lot of people probably want it.",1.82
674,There's a deep loneliness.,0.82
675,And I'll fill their loneliness and just will only advertise to you some of the time.,5.22
676,"Yeah, maybe the conceptions of monogamy change too.",2.32
677,"Like I grew up in a time, like I value monogamy, but maybe that's a silly notion when you have arbitrary number of AI systems.",6.62
678,"Mm-hmm, this interesting path from rationality to polyamory.",4.92
679,"Yeah, that doesn't make sense for me.",1.32
680,For you.,0.42
681,But you're just a biological organism who's born before the internet really took off.,6.46
682,The crazy thing is like culture is whatever we define it as.,4.66
683,"Right, these things are not, you have the is-ought problem in moral philosophy, right?",4.72
684,"There's no like, okay, what is might be that like computers are capable of mimicking girlfriends perfectly.",6.8
685,"They pass the girlfriend Turing test, right?",1.76
686,But that doesn't say anything about ought.,1.36
687,That doesn't say anything about how we ought to respond to them as a civilization.,2.78
688,"That doesn't say we ought to get rid of monogamy, right?",2.7
689,"That's a completely separate question, really a religious one.",2.74
690,"Girlfriend Turing test, I wonder what that looks like.",2.76
691,Girlfriend Turing test.,0.86
692,Are you writing that?,1.04
693,Will you be the Alan Turing of the 21st century that writes the girlfriend Turing test?,4.68
694,"No, I mean, of course, my AI girlfriends, their goal is to pass the girlfriend Turing test.",4.68
695,"No, but there should be like a paper that kind of defines the test.",3.4
696,"I mean, the question is if it's deeply personalized or there's a common thing that really gets everybody.",6.52
697,"Yeah, I mean, you know, look, we're a company.",2.18
698,We don't have to get everybody.,0.68
699,We just have to get a large enough clientele to stay.,2.34
700,I like how you're already thinking company.,2.38
701,"All right, before we go to company number three and company number four, let's go to company number two.",4.92
702,All right.,0.36
703,"Tiny Corp, possibly one of the greatest names of all time for a company.",5.38
704,You've launched a new company called Tiny Corp that leads the development of Tiny Grad.,5.34
705,What's the origin story of Tiny Corp and Tiny Grad?,2.9
706,"I started Tiny Grad as like a toy project just to teach myself, okay, like what is a convolution?",6.62
707,What are all these options you can pass to them?,2.2
708,"What is the derivative of a convolution, right?",1.58
709,Very similar to a Carpathian micro grad.,3.0
710,Very similar.,0.6
711,"And then I started realizing, I started thinking about like AI chips.",5.52
712,"I started thinking about chips that run AI and I was like, well, okay, this is going to be a really big problem.",6.8
713,"If NVIDIA becomes a monopoly here, how long before NVIDIA is nationalized?",5.6
714,Hmm.,0.72
715,"So you, one of the reasons to start Tiny Corp is to challenge NVIDIA.",6.46
716,It's not so much to challenge NVIDIA.,2.92
717,"I actually, I like NVIDIA and it's to make sure power stays decentralized.",7.62
718,Yeah.,0.14
719,"I mean, here's a computational power.",2.86
720,I see you NVIDIA is kind of locking down the computational power of the world.,4.98
721,"If becomes NVIDIA just like 10X better than everything else, you're giving a big advantage to somebody who can secure NVIDIA as a resource.",9.0
722,Yeah.,0.64
723,"In fact, if Jensen watches this podcast, he may want to consider this.",3.36
